section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4
education,TRUE,"MSc, Ecology and Evolutionary Biology","Jyväskylä, Finland",University of Jyväskylä,2016,2019,Thesis: “Variable light conditions affect warning signal efficacy in an aposematic polymorphic moth”, Thesis grade: 4/5.,"My degree was graded as “Excellent”, the highest grade awarded to degrees at JYU",Supervised by PhD Ossi Nokelainen and Prof. Johanna Mappes
education,TRUE,"BSc, Biological Sciences","Viçosa, Brazil",Federal University of Viçosa,2009,2016,Monograph: “What drives changes in composition of ant assemblages along a vertical gradient?”,NA,Supervised by Profs. Fernando Augusto Schmidt and José Henrique Schoreder,
education,TRUE,Visiting student,"Helsinki, Finland",University of Helsinki,2013,2014,Attended Master's level courses and did an internship at the research group “Social Evolution in Ants”,NA,NA,
research_positions,FALSE,Master’s thesis development,Evolution of predator-prey interactions group,University of Jyväskylä,2017,2019,"I did my thesis work in Professor Johanna Mappes's group. I investigated the effects of different light conditions to the predation pressure suffered by _Arctia plantaginis_, an aposematic species that is also color polymorphic. I attended the group's weekly meetings during which we discussed papers, and presented research projects.",NA,NA,
research_positions,FALSE,Research apprentice,Laboratório de Ecologia de Comunidades,Federal University of Viçosa,2011,2016,"I was part of different ant community ecology and biodiversity research projects, and conducted the project that resulted in my bachelor’s monograph. I had experience with sampling and identifying ants, data analysis and scientific writing, among other activities related to the research group.",NA,NA,
research_positions,FALSE,Research apprentice,Social Evolution in Ants,University of Helsinki,2013,2014,"I worked as research apprentice in the group “Social Evolution in Ants” during my exchange year at University of Helsinki. I was part of projects related to ecology, evolution, behaviour, and population biology of Formica and Myrmica ants. I had experience with sampling and sorting ant colonies, setting-up and maintaining experimental colonies in the lab and recording results from lab experiments. I also helped with mark/recapture sampling and survival assays using ants.",NA,NA,
academic_articles,TRUE,News on the enigmatic ant genus Anillidris (Formicidae: Dolichoderinae: Leptomyrmecini),Article,"Myrmecological News, volume 19, pages 25-30",2014,2014,"SCHMIDT, F. A. ; FEITOSA, R. M. ; **DE MORAES REZENDE, F.** ; SILVA DE JESUS, R.",Available from [here](https://myrmecologicalnews.org/cms/index.php?option=com_content&view=category&id=576&Itemid=363),NA,
academic_articles,FALSE,What drives changes in composition of ant assemblages along a vertical gradient?,Talk,"XXII Simpósio de Mirmecologia: An International Ant Meeting, Ilhéus, Brazil",2015,2015,"**_REZENDE, F. M._** ; JESUS, R. S. ; RIBAS, C. R., SCHOEREDER, J. H.","<font><i class=""fa fa-award""></i></font> This talk won the prize for best oral presentation in its category",NA,
academic_articles,FALSE,Os últimos serão os primeiros? Distribuição de abortos no fruto de _Leucaena leucocephala (Lam.)_ de Witt,Talk,"EcoEncontros, USP",2015,2015,I presented the talk “Os últimos serão os primeiros? Distribuição de abortos no fruto de _Leucaena leucocephala (Lam.)_ de Witt” as part of the activities of  EcoEncontros---a weekly meeting organized by graduate students from Universidade de São Paulo's (USP) Graduate Program in Ecology. This talk was about the project developed by my group during the “2^a^ EcoEscola: Escola de Ecologia da USP”. My group investigated a possible selective abortion pattern in _L. leucocephala’s_ pods and its relationship to post copulatory cryptic female choice. Our hypothesis was that we would find significantly more abortions on the basal end of the pods. We did not find any clear abortion pattern in the pods.,NA,NA,
teaching_positions,FALSE,Evolution tutor,NA,Federal University of Viçosa,2012,2012,"Worked as tutor in the course “BIO 340 — Evolução Orgânica” (Organic Evolution) for one semester. My duties were to assist the students within and without class hours, to evaluate the students’ reports and extra tasks, to help the students prepare their seminars and to elaborate questions during the presentation of said seminars.","This was a voluntary position (i.e., I was not paid)",Undergraduate class,
